법정동,단지명,floor,지번,area,transaction_price,construction_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
창신동,창신쌍용1,6,702,54.7,"52,600",1992,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,1.11101E+13,5,14
창신동,창신쌍용1,11,702,54.7,"55,000",1992,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,1.11101E+13,5,14
창신동,동대문,2,328-17,28.8,"42,000",1966,37.5722773,127.0151913,오디세이학교,267,동묘앞역 6호선,48,홈플러스익스프레스 숭인점,168,LH,1.11101E+13,1,6
창신동,창신쌍용2,2,703,54.7,"58,500",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신이수,7,23-816,120.84,"88,700",2003,37.577999,127.0147048,서울창신초등학교,223,창신역 6호선,165,GS더프레시 성북보문점,463,알 수 없음,1.11101E+13,1,19
창신동,창신쌍용2,12,703,79.87,"71,500",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용1,11,702,54.7,"68,000",1992,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,1.11101E+13,5,14
창신동,창신쌍용1,4,702,79.87,"80,700",1992,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,1.11101E+13,5,14
창신동,창신쌍용2,7,703,79.87,"74,000",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,덕산,4,639-50,59.28,"53,000",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
창신동,두산,14,232,59.95,"79,500",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,덕산,4,639-50,59.28,"53,000",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
