법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
숭인동,종로센트레빌,8,02월 01일,59.92,"89,800",2008,2022,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,1.11E+13,6,12
숭인동,종로센트레빌,7,02월 01일,59.92,"90,000",2008,2021,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,1.11E+13,6,12
숭인동,종로센트레빌,11,02월 01일,59.92,"95,000",2008,2022,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,1.11E+13,6,12
숭인동,종로센트레빌,8,02월 01일,59.92,"98,000",2008,2021,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,1.11E+13,6,12
숭인동,종로센트레빌,2,02월 01일,59.92,"98,000",2008,2021,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,1.11E+13,6,12
숭인동,종로센트레빌,11,02월 01일,84.92,"109,000",2008,2022,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,1.11E+13,6,12
숭인동,블루빌,5,243,44.56,"28,000",2017,2023,37.5726137,127.0175208,오디세이학교,94,동묘앞역 1호선,121,홈플러스익스프레스 숭인점,196,라메드,1.11E+13,1,9
숭인동,롯데캐슬천지인,26,76,84.95,"112,000",2004,2021,37.5738554,127.0161891,오디세이학교,275,동묘앞역 1호선,72,홈플러스익스프레스 숭인점,38,롯데건설,1.11E+13,2,30
숭인동,롯데캐슬천지인,19,76,111.73,"112,000",2004,2023,37.5738554,127.0161891,오디세이학교,275,동묘앞역 1호선,72,홈플러스익스프레스 숭인점,38,롯데건설,1.11E+13,2,30
숭인동,롯데캐슬천지인,25,76,112.54,"119,500",2004,2021,37.5738554,127.0161891,오디세이학교,275,동묘앞역 1호선,72,홈플러스익스프레스 숭인점,38,롯데건설,1.11E+13,2,30
숭인동,롯데캐슬천지인,11,76,112.54,"128,500",2004,2021,37.5738554,127.0161891,오디세이학교,275,동묘앞역 1호선,72,홈플러스익스프레스 숭인점,38,롯데건설,1.11E+13,2,30
숭인동,삼전솔하임2차,7,296-19,15,"10,200",2012,2022,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,9,296-19,16.67,"10,800",2012,2023,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,5,296-19,16.67,"10,900",2012,2021,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,10,296-19,14.69,"11,000",2012,2023,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,8,296-19,14.69,"11,000",2012,2023,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,10,296-19,16.67,"11,700",2012,2021,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임4차,15,318-2,15.09,"11,800",2014,2022,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,1.11E+13,1,17
숭인동,삼전솔하임2차,10,296-19,16.67,"12,000",2012,2022,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,9,296-19,15,"12,200",2012,2022,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임4차,17,318-2,15.09,"12,350",2014,2022,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,1.11E+13,1,17
숭인동,삼전솔하임4차,17,318-2,15.09,"12,500",2014,2022,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,1.11E+13,1,17
숭인동,삼전솔하임4차,16,318-2,15.09,"12,510",2014,2022,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,1.11E+13,1,17
숭인동,삼전솔하임2차,8,296-19,16.67,"13,000",2012,2022,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임4차,15,318-2,15.09,"13,400",2014,2023,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,1.11E+13,1,17
숭인동,삼전솔하임4차,15,318-2,15.09,"13,400",2014,2023,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,1.11E+13,1,17
숭인동,삼전솔하임2차,5,296-19,16.67,"13,500",2012,2022,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,6,296-19,16.67,"14,500",2012,2022,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,삼전솔하임2차,6,296-19,14.69,"14,500",2012,2022,37.5724122,127.0167423,오디세이학교,137,동묘앞역 6호선,93,홈플러스익스프레스 숭인점,167,삼전건설,1.11E+13,1,10
숭인동,종로중흥S클래스,13,202-3,17.811,"12,900",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로중흥S클래스,14,202-3,17.811,"13,000",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로중흥S클래스,10,202-3,17.811,"13,200",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로중흥S클래스,16,202-3,17.811,"13,200",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로중흥S클래스,8,202-3,17.811,"13,300",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로중흥S클래스,14,202-3,17.811,"13,400",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로중흥S클래스,13,202-3,19.466,"13,450",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로중흥S클래스,7,202-3,19.466,"13,570",2013,2022,37.573559,127.0217102,서울장로회신학,151,신설동역 2호선,315,이마트 청계천점,245,중흥건설,1.11E+13,1,16
숭인동,종로아인스빌,12,1392-1,12.15,"10,500",2013,2022,37.5735721,127.022734,서울장로회신학,130,신설동역 2호선,236,이마트 청계천점,260,청오건설주식회사,1.11E+13,1,15
